x,CDF(x)
-3.983,3.40253777896835e-05
-3.9829,3.40397032957103e-05
-3.9828,3.40540345085792e-05
-3.9827,3.40683714304205e-05
-3.9826,3.40827140633648e-05
-3.9825,3.40970624095437e-05
-3.9824,3.41114164710895e-05
-3.9823,3.4125776250135e-05
-3.9822,3.41401417488143e-05
-3.9821,3.41545129692616e-05
-3.982,3.41688899136122e-05
-3.9819,3.41832725840019e-05
-3.9818,3.41976609825676e-05
-3.9817,3.42120551114466e-05
-3.9816,3.4226454972777e-05
-3.9815,3.42408605686978e-05
-3.9814,3.42552719013486e-05
-3.9813,3.42696889728696e-05
-3.9812,3.42841117854022e-05
-3.9811,3.4298540341088e-05
-3.981,3.43129746420696e-05
-3.9809,3.43274146904905e-05
-3.9808,3.43418604884945e-05
-3.9807,3.43563120382266e-05
-3.9806,3.43707693418322e-05
-3.9805,3.43852324014576e-05
-3.9804,3.43997012192498e-05
-3.9803,3.44141757973567e-05
-3.9802,3.44286561379266e-05
-3.9801,3.44431422431087e-05
-3.98,3.44576341150531e-05
-3.9799,3.44721317559105e-05
-3.9798,3.44866351678323e-05
-3.9797,3.45011443529707e-05
-3.9796,3.45156593134787e-05
-3.9795,3.45301800515099e-05
-3.9794,3.45447065692187e-05
-3.9793,3.45592388687602e-05
-3.9792,3.45737769522905e-05
-3.9791,3.45883208219661e-05
-3.979,3.46028704799445e-05
-3.9789,3.46174259283836e-05
-3.9788,3.46319871694425e-05
-3.9787,3.46465542052806e-05
-3.9786,3.46611270380585e-05
-3.9785,3.46757056699371e-05
-3.9784,3.46902901030784e-05
-3.9783,3.47048803396449e-05
-3.9782,3.47194763818e-05
-3.9781,3.47340782317077e-05
-3.978,3.47486858915328e-05
-3.9779,3.47632993634409e-05
-3.9778,3.47779186495984e-05
-3.9777,3.47925437521723e-05
-3.9776,3.48071746733304e-05
-3.9775,3.48218114152412e-05
-3.9774,3.4836453980074e-05
-3.9773,3.4851102369999e-05
-3.9772,3.48657565871868e-05
-3.9771,3.48804166338091e-05
-3.977,3.4895082512038e-05
-3.9769,3.49097542240468e-05
-3.9768,3.4924431772009e-05
-3.9767,3.49391151580993e-05
-3.9766,3.49538043844928e-05
-3.9765,3.49684994533658e-05
-3.9764,3.49832003668948e-05
-3.9763,3.49979071272576e-05
-3.9762,3.50126197366321e-05
-3.9761,3.50273381971977e-05
-3.976,3.50420625111339e-05
-3.9759,3.50567926806214e-05
-3.9758,3.50715287078413e-05
-3.9757,3.50862705949758e-05
-3.9756,3.51010183442076e-05
-3.9755,3.51157719577201e-05
-3.9754,3.51305314376978e-05
-3.9753,3.51452967863255e-05
-3.9752,3.51600680057891e-05
-3.9751,3.51748450982751e-05
-3.975,3.51896280659708e-05
-3.9749,3.52044169110641e-05
-3.9748,3.52192116357441e-05
-3.9747,3.52340122422e-05
-3.9746,3.52488187326222e-05
-3.9745,3.52636311092018e-05
-3.9744,3.52784493741305e-05
-3.9743,3.52932735296009e-05
-3.9742,3.53081035778065e-05
-3.9741,3.53229395209409e-05
-3.974,3.53377813611993e-05
-3.9739,3.53526291007771e-05
-3.9738,3.53674827418706e-05
-3.9737,3.5382342286677e-05
-3.9736,3.5397207737394e-05
-3.9735,3.54120790962203e-05
-3.9734,3.54269563653551e-05
-3.9733,3.54418395469986e-05
-3.9732,3.54567286433517e-05
-3.9731,3.54716236566158e-05
